Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-27,15:28:52.330,-35,-36,100,10,0,8,50,-46,100,11,8.4,0.0,0,0,3.8,0.9,-16,-127,976,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1499,1988,1492,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:52.830,-39,-36,100,10,0,8,50,-43,100,10,8.4,0.0,0,0,3.8,0.9,-2,-339,1024,-9,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1458,2012,1498,2012,1487,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:53.330,-44,-41,100,10,0,8,50,-49,100,10,8.4,0.0,0,0,3.8,0.9,12,-737,1024,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1312,2012,1505,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:53.830,-44,-41,100,10,0,8,50,-53,100,10,8.4,0.0,0,0,5.0,0.7,1,-220,1024,128,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1476,1483,2012,1510,2012,1452,1494,1487,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:54.330,-43,-47,100,10,0,8,50,-50,100,10,8.4,0.0,0,0,5.0,0.7,58,-119,1024,385,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1437,1501,2012,1562,2012,1374,1481,1462,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:54.830,-55,-63,100,11,1,8,50,-62,100,10,8.4,0.0,0,0,5.0,0.7,-1,-240,1024,-65,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1500,1479,2012,1495,2012,1500,1506,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:55.330,-55,-63,100,11,1,8,50,-47,100,11,8.4,0.0,0,0,8.6,4.0,-4,-5,1024,50,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1486,1520,2012,1502,2012,1472,1498,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:55.830,-46,-47,98,10,0,8,50,-66,100,10,8.4,0.0,0,0,8.6,4.0,-4,-70,1024,23,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1489,1509,2012,1500,2012,1478,1499,1498,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:56.330,-52,-66,100,10,0,8,50,-55,100,9,8.4,0.0,0,0,8.6,4.0,-4,-121,1024,-35,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1497,1501,2012,1496,2012,1493,1503,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:56.830,-52,-66,100,10,0,8,50,-56,100,11,8.4,0.0,0,0,17.1,5.9,-4,-109,1024,46,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1486,1503,2012,1501,2012,1473,1498,1496,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
